Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,567.528672858345,567.930736009565,2487.59815432028,2723.8227773066,2961.550283849,3098.98630009568,2687.48014545225,2176.00224545044,1968.56473841262,2027.77797925505,2229.85869624463,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,371.678557270582,576.195600593124,1164.97612914872,1198.10900052752,1208.90431029644,1251.16410422834,1356.66775582649,1368.45432627629,1464.99330546855,1482.30566684338,1284.70204090039,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,1196.58685819634,1955.58800627896,5869.32307961474,6528.97221785312,6756.75276926556,6672.8802554854,6229.10169612596,6204.99726003927,6710.50802896038,6941.23584763012,6977.69578355382,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,8652.50749222505,16192.1269719638,27278.8830499205,27944.7338937424,28513.1657351067,28981.4573305866,29763.4883013861,30627.1634017011,31108.7527508912,31621.8934700005,32873.7192730424,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,1680.70562287227,1659.90763954548,9099.2175388969,8507.10477456436,9547.85215096612,10043.6774497614,8969.14892146193,9548.58740298268,10807.7953907179,12399.889335731,12913.0739557854,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,1508.94273670514,2007.73517506683,5492.12125590558,5860.58250725599,6168.26298501219,5951.88370233604,5840.04652294326,5994.23147547156,6592.91490169864,7295.47561612095,7806.74221105532,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,2794.35039016178,4337.47814131056,11420.7732646112,11795.316711752,12614.4802575975,12157.3379609015,11006.2497363978,10895.3186924719,10591.4743712025,9455.59365384828,9126.56134585014,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,1166.61027609729,1651.62244254198,3852.75276709995,3909.90756873124,4043.7490382702,4130.87905539962,4164.10787635509,4176.58891025118,4234.40313273963,4312.18011672108,4405.48841230824,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/26/2021,,,,,,,,,,,,,,,
